ID,CB_Group,Block,Audio,Passage,Accuracy,Valence,Arousal,SSSQ Alert,SSSQ Active,SSSQ Engagement Mean,Familiarity
P01,4,1,Silence,Banana,4,7,2,3,4,4.16,1
P01,4,2,Audio,Kilian,4,9,7,5,5,4.16,5
P02,3,1,Audio,Kilian,5,8,2,1,4,3.83,1
P02,3,2,Silence,Banana,6,8,4,3,4,3.83,2
P03,4,1,Silence,Banana,2,6,5,4,4,3.5,2
P03,4,2,Audio,Kilian,3,7,7,2,4,4,2
P04,2,1,Silence,Kilian,5,7,3,1,2,4.83,1
P04,2,2,Audio,Banana,6,7,3,1,1,5,3
P05,2,1,Silence,Kilian,6,6,5,3,3,2.33,1
P05,2,2,Audio,Banana,4,6,4,2,2,2.66,1
P06,3,1,Audio,Kilian,5,4,5,2,3,4.66,1
P06,3,2,Silence,Banana,3,8,3,2,3,5,2
P07,1,1,Audio,Banana,4,6,2,3,2,2.83,1
P07,1,2,Silence,Kilian,5,5,2,4,1,3.66,2
P08,1,1,Audio,Banana,4,7,3,3,4,3.83,1
P08,1,2,Silence,Kilian,4,7,3,4,3,4,2
P09,2,1,Silence,Kilian,4,7,6,4,3,4,1
P09,2,2,Audio,Banana,6,5,4,3,3,3.66,1
P10,3,1,Audio,Kilian,4,6,7,4,4,4.33,2
P10,3,2,Silence,Banana,6,5,5,4,3,3.66,1
P11,4,1,Silence,Banana,5,5,3,3,2,3.5,1
P11,4,2,Audio,Kilian,4,7,4,4,2,3.33,1
P12,3,1,Audio,Kilian,3,5,3,1,3,4.16,1
P12,3,2,Silence,Banana,4,3,5,1,2,2.66,1
P13,4,1,Silence,Banana,2,7,5,3,3,3.16,1
P13,4,2,Audio,Kilian,5,7,3,4,4,4.33,1
P14,1,1,Audio,Banana,5,7,2,3,3,3.83,1
P14,1,2,Silence,Kilian,5,5,4,2,3,3.5,1
P15,2,1,Silence,Kilian,3,7,2,3,2,3.83,2
P15,2,2,Audio,Banana,3,7,2,3,2,3.83,2
P16,3,1,Audio,Kilian,5,7,2,3,4,4,1
P16,3,2,Silence,Banana,6,7,2,1,4,3.66,1
P17,1,1,Audio,Banana,3,7,9,4,4,4.33,1
P17,1,2,Silence,Kilian,4,7,7,3,3,4.16,3
P18,2,1,Silence,Kilian,5,5,6,2,4,3.33,1
P18,2,2,Audio,Banana,3,5,7,1,3,3.5,1
P19,4,1,Silence,Banana,5,6,4,3,2,4.16,1
P19,4,2,Audio,Kilian,5,6,3,3,2,4.16,1
P20,3,1,Audio,Kilian,4,5,4,2,4,3.83,2
P20,3,2,Silence,Banana,5,5,5,3,4,3.66,1
P21,4,1,Silence,Banana,6,5,3,3,3,3.5,1
P21,4,2,Audio,Kilian,6,5,3,4,4,4,1
P22,1,1,Audio,Banana,3,5,6,3,4,3.16,1
P22,1,2,Silence,Kilian,5,7,7,4,4,3.33,3
P23,2,1,Silence,Kilian,3,5,2,4,4,3.83,1
P23,2,2,Audio,Banana,3,6,2,4,4,4.16,1
P24,4,1,Silence,Banana,5,4,4,2,2,3.16,1
P24,4,2,Audio,Kilian,6,4,2,1,2,3.16,1
P25,3,1,Audio,Kilian,4,6,3,1,3,3,2
P25,3,2,Silence,Banana,3,5,3,2,3,2.5,1
P26,3,1,Audio,Kilian,5,6,1,1,2,4.16,2
P26,3,2,Silence,Banana,6,6,3,1,3,3.83,2
P27,4,1,Silence,Banana,6,5,7,2,3,3.33,1
P27,4,2,Audio,Kilian,5,6,4,1,1,4,1
P28,2,1,Silence,Kilian,4,7,1,3,3,3,1
P28,2,2,Audio,Banana,5,5,3,1,2,3.33,2
P29,1,1,Audio,Banana,5,4,4,1,2,2.83,1
P29,1,2,Silence,Kilian,4,4,4,1,2,2.83,1
P30,1,1,Audio,Banana,5,9,2,4,4,4.66,1
P30,1,2,Silence,Kilian,5,9,2,4,5,5,4
P31,3,1,Audio,Kilian,6,5,3,1,2,2.16,2
P31,3,2,Silence,Banana,5,5,2,1,2,2,1
P32,3,1,Audio,Kilian,6,1,6,1,1,2.16,3
P32,3,2,Silence,Banana,6,1,3,1,1,2,4
P33,1,1,Audio,Banana,6,7,7,3,3,4,1
P33,1,2,Silence,Kilian,6,6,6,3,3,4,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,