Q163_1,Q163_2,Q163_3,Q163_4,Q163_5,Q163_6,Q163_7,Q163_8,Q163_9,Q163_10,Q163_11,Q163_12,Q163_13,ID
2,2,3,2,3,4,2,3,2,2,3,1,3,P01
1,5,2,4,3,1,3,3,3,3,4,4,4,P02
2,4,2,3,4,1,1,2,1,2,1,3,4,P03
1,4,2,1,2,2,5,2,2,2,4,5,5,P04
2,3,3,2,2,3,2,3,3,3,2,4,3,P05
2,1,3,2,4,5,1,1,1,1,4,4,1,P06
1,1,3,4,5,5,3,5,5,5,4,5,3,P07
2,1,2,2,4,3,1,1,1,1,2,3,3,P08
2,2,4,4,4,3,2,5,5,5,4,5,5,P09
1,2,4,5,5,4,2,4,5,2,1,4,1,P10
1,1,5,5,4,4,5,5,5,5,4,5,5,P11
3,4,5,4,5,3,2,5,4,4,1,1,1,P12
3,4,4,2,3,4,2,4,4,3,4,4,4,P13
1,2,3,3,3,2,2,2,2,2,2,2,3,P14
2,2,2,2,2,1,1,2,1,2,1,3,4,P15
3,4,5,4,2,2,1,3,3,1,1,1,1,P16
2,5,2,1,1,1,1,2,3,2,1,1,3,P17
1,2,4,2,2,1,2,2,3,3,1,3,2,P18
2,3,4,4,4,3,3,5,5,5,4,5,3,P19
3,5,4,4,5,4,3,4,4,3,3,3,2,P20
3,2,5,3,4,3,2,1,2,1,1,4,4,P21
2,4,3,2,3,1,1,2,3,2,1,1,2,P22
2,4,4,4,1,4,5,3,3,3,4,4,2,P23
1,3,3,2,3,3,3,1,2,2,3,3,3,P24
1,3,3,2,2,2,2,2,2,3,2,2,3,P25
2,3,4,4,5,3,3,4,4,4,2,5,3,P26
1,3,3,4,4,3,2,3,5,3,3,2,3,P27
1,4,2,5,4,4,3,4,4,5,2,5,4,P28
2,2,4,2,3,3,2,4,4,5,2,5,3,P29
1,4,4,2,2,2,1,1,2,1,1,4,2,P30
2,3,3,5,3,2,4,5,5,5,5,5,4,P31
2,3,3,2,3,3,4,4,4,3,3,3,4,P32
3,3,4,4,4,4,4,3,4,4,4,4,4,P33